time_s,power_W
488.010152673854,-42554.6549210225
488.01325346174,-42518.6003051137
488.016354249627,-42482.5456065303
488.024598773186,-42386.6812431213
488.032843296744,-42290.8162971869
488.041087820302,-42194.9507700374
488.049332343861,-42099.0846630014
488.060161753658,-41973.1610001633
488.070991163456,-41847.2363420713
488.081820573253,-41721.3106917157
488.09264998305,-41595.3840520825
488.19264998305,-40432.5169439072
488.29264998305,-39269.5680892784
488.39264998305,-38106.5398412796
488.49264998305,-36943.4345529931
488.59264998305,-35780.2545775
488.69264998305,-34617.002267882
488.79264998305,-33453.6799772215
488.89264998305,-32290.2900585996
488.99264998305,-31126.8348650979
489,-31041.3182001645
489.002149523993,-43478.7955767224
489.004299047986,-43432.0318683342
489.006448571979,-43385.2681084955
489.008598095973,-43338.5042972894
489.012683621144,-43249.6218133595
489.016769146315,-43160.7391444065
489.020854671486,-43071.8562908102
489.024940196658,-42982.9732529655
489.03207874077,-42827.6695252823
489.039217284881,-42672.3652382586
489.046355828993,-42517.0603939128
489.053494373105,-42361.754994285
489.069647381698,-42010.3298336033
489.08580039029,-41658.9018636327
489.101953398882,-41307.471107879
489.118106407474,-40956.0375898501
489.218106407474,-38780.3239031982
489.318106407474,-36604.5108283091
489.418106407474,-34428.6039428585
489.518106407474,-32252.6088245214
489.618106407474,-30076.5310509731
489.718106407474,-27900.3761998887
489.818106407474,-25724.1498489435
489.918106407474,-23547.8575758126
490,-21765.5684544124
490.081893592526,-19983.2419259962
490.163787185051,-18200.8810539587
490.245680777577,-16418.4889016951
490.327574370102,-14636.0685326002
490.427574370102,-12459.5270016877
490.527574370102,-10282.9535427329
490.627574370102,-8106.353733411
490.727574370103,-5929.73315139708
490.827574370103,-3753.09737436641
490.927574370103,-1576.45197999416
490.999999999996,-7.9186058672145e-08
491,0
491.024401053916,0
491.048802107832,0
491.073203161748,0
491.097604215664,0
491.195208431328,0
491.292812646993,0
491.390416862657,0
491.490416862657,0
491.590416862657,0
491.690416862657,0
491.790416862657,0
491.890416862657,0
491.990416862657,0
492,0
492.009583137343,0
492.019166274686,0
492.114997648117,0
492.210829021547,0
492.306660394977,0
492.406660394977,0
492.506660394977,0
492.606660394977,0
492.706660394977,0
492.806660394977,0
492.906660394978,0
493,0
493.093339605022,0
493.186679210045,0
493.286679210045,0
493.386679210045,0
493.486679210045,0
493.586679210045,0
493.686679210045,0
493.786679210045,0
493.886679210045,0
493.986679210045,0
494,0
494.013320789955,0
494.02664157991,0
494.12664157991,0
494.22664157991,0
494.32664157991,0
494.42664157991,0
494.52664157991,0
494.62664157991,0
494.72664157991,0
494.82664157991,0
494.92664157991,0
495,0
495.07335842009,0
495.14671684018,0
495.24671684018,0
495.34671684018,0
495.44671684018,0
495.54671684018,0
495.64671684018,0
495.74671684018,0
495.84671684018,0
495.94671684018,0
496,0
496.05328315982,0
496.106566319639,0
496.206566319639,0
496.306566319639,0
496.406566319639,0
496.506566319639,0
496.606566319639,0
496.706566319639,0
496.806566319639,0
496.906566319639,0
497,0
497.093433680361,0
497.186867360721,0
497.286867360721,0
497.386867360721,0
497.486867360721,0
497.586867360721,0
497.686867360722,0
497.786867360722,0
497.886867360722,0
497.986867360722,0
498,0
498.013132639278,0
498.026265278557,0
498.126265278557,0
498.226265278557,0
498.326265278557,0
498.426265278557,0
498.526265278557,0
498.626265278557,0
498.726265278557,0
498.826265278557,0
498.926265278557,0
499,0
499.073734721443,0
499.147469442886,0
499.247469442886,0
499.347469442886,0
499.447469442886,0
499.547469442886,0
499.647469442886,0
499.747469442886,0
499.847469442886,0
